PRESION,ALTURA,TEMPAMB,TEMPROCIO,HUMEDAD,MEZCLAIRE,VIENTO,TPOT,TPOTEQ,TPOTV
73800,2705,287.4,278.4,55,0.00768,8.745555556,337.9,313.6,315.1
73900,2706,286.1,281,71,0.00918,7.202222222,340.7,312.1,313.8
73900,2707,284.8,282.9,88,0.01047,3.086666667,343,310.7,312.6
73900,2712,284.4,279.4,71,0.00822,2.572222222,335.8,310.2,311.8
73800,2714,283.2,269.2,37,0.00393,0.514444444,321.6,309,309.8
73700,2715,281.8,264.8,37,0.003385,3.086666667,318.35,307.65,308.3
73800,2716,286.1,271.1,35,0.00451,5.144444444,326.7,312.2,313
73800,2717,284.6,280.1,74,0.00865,6.687777778,337.4,310.6,312.2
73700,2718,284.8,283.7,93,0.01108,5.144444444,345.1,310.9,313
73700,2719,285.4,282.9,85,0.0105,2.057777778,344.1,311.6,313.5
73800,2720,289,281,59,0.0092,5.144444444,344.5,315.4,317.1
73600,2721,287.8,280.8,63,0.0091,6.173333333,343,314.3,316
73700,2723,282.6,278.3,75,0.00763,2.057777778,332.1,308.5,309.9
73600,2724,282.4,280.4,87,0.00885,2.057777778,335.6,308.4,310.1
73600,2725,283,280,82,0.00861,4.115555556,335.6,309.1,310.7
73800,2726,284.4,282.2,86,0.00996,5.144444444,341.1,310.3,312.2
73600,2727,287.2,278.6,56,0.0078,9.26,338.3,313.7,315.1
73900,2728,284.4,276.4,58,0.00665,9.774444444,331.1,310.2,311.5
73700,2729,286.4,280.4,67,0.00884,3.086666667,340.3,312.7,314.3
73700,2730,286.8,280.8,67,0.00909,5.144444444,341.6,313.1,314.8
73800,2731,285.4,280.4,72,0.00883,5.144444444,338.9,311.4,313.1
73500,2733,287.7,280.8,63,0.0091,6.173333333,343,314.3,316.1
73700,2735,286,281,72,0.00921,7.716666667,341,312.2,313.9
73500,2736,282.4,279.4,82,0.00827,2.057777778,334,308.5,310.1
73500,2737,287.8,281.3,65,0.00945,8.231111111,344.2,314.5,316.3
73600,2738,280.4,272.4,57,0.005,3.601111111,321.8,306.2,307.1
73300,2739,282.8,282,95,0.00992,0.514444444,339.7,309.2,311.1
73500,2740,286.7,282.2,74,0.01001,8.231111111,344.5,313.2,315.1
73600,2741,288.9,280,55,0.00858,5.144444444,342.7,315.5,317.1
73680,2743,284.2,278.5,68,0.00775,11.31777778,334.4,310.3,311.8
73400,2747,282.2,280,86,0.00863,2.572222222,335,308.4,310
73500,2748,283.4,281.6,89,0.00963,2.057777778,339.3,309.6,311.4
73400,2749,283.9,279.6,75,0.00842,5.658888889,336.5,310.4,311.9
73450,2750,284.5,282.1,85,0.009975,1.028888889,341.75,310.9,312.75
73600,2751,282.2,277.7,73,0.00733,1.543333333,330.9,308.2,309.6
73600,2752,288,279,55,0.00803,6.687777778,339.9,314.5,316.1
73400,2753,287.9,282.3,69,0.01011,7.202222222,346.4,314.6,316.5
73400,2755,282,278.3,78,0.00767,2.057777778,331.9,308.2,309.6
73300,2758,282,279.8,86,0.00853,1.543333333,334.6,308.3,309.9
73400,2759,283.4,283.4,100,0.0109,4.115555556,343.3,309.7,311.8
73400,2760,287.8,278.8,55,0.00794,7.202222222,339.7,314.6,316.1
73400,2761,282.4,280.6,89,0.009,4.115555556,336.3,308.6,310.3
73400,2762,284.6,283,90,0.01061,6.173333333,343.9,311.1,313
73300,2763,284.4,282.5,88,0.01027,3.086666667,342.7,311,312.9
73500,2764,286.8,277.8,55,0.00739,6.173333333,336.7,313.3,314.7
73400,2765,286.8,279.8,63,0.00851,6.173333333,340.2,313.5,315.1
73200,2767,289,280.3,56,0.00883,6.687777778,344.2,316.1,317.8
73400,2768,282.2,277.3,71,0.00714,0.514444444,330.6,308.4,309.8
73300,2769,282,280.5,90,0.00895,1.543333333,335.8,308.3,310
73300,2770,282.6,280.9,89,0.0092,3.086666667,337.3,309,310.7
73500,2771,284.2,278.2,67,0.0076,3.601111111,334.2,310.5,311.9
73200,2772,288.8,279.8,55,0.00854,3.601111111,343,315.9,317.5
73300,2773,284.4,280.9,79,0.00922,5.144444444,339.5,310.9,312.7
73300,2774,285.9,281.2,73,0.00942,6.173333333,342,312.6,314.3
73200,2775,286,281.7,75,0.00974,4.63,343.2,312.8,314.7
73500,2776,286,280,67,0.00862,5.658888889,339.4,312.5,314.1
73500,2778,287,278,55,0.00749,6.687777778,337.2,313.6,315
73200,2780,283.8,283.8,100,0.01124,2.057777778,345,310.4,312.5
73100,2781,283.4,277.4,66,0.00722,3.086666667,332.6,310.1,311.5
73100,2782,288.5,280.4,59,0.00893,7.202222222,343.9,315.6,317.4
73200,2783,284.8,280.3,74,0.00884,4.115555556,339.1,311.5,313.2
73200,2785,284,282.8,92,0.0105,3.086666667,343.1,310.6,312.6
73100,2786,282.4,279.5,82,0.00837,2.057777778,334.9,309,310.6
73200,2787,284.3,278.7,68,0.0079,5.144444444,335.6,311,312.4
73300,2788,284.6,268.6,32,0.00378,6.173333333,323.4,311.2,311.9
73100,2789,287,280,63,0.00867,6.173333333,341.4,314,315.7
73000,2792,284.4,273.4,47,0.00543,2.572222222,328.6,311.3,312.3
73100,2793,285,280.3,73,0.00885,5.658888889,339.5,311.9,313.5
72900,2794,281.6,281.1,97,0.00938,1.028888889,337.2,308.4,310.1
73100,2795,284.4,280.2,75,0.00879,7.202222222,338.6,311.2,312.9
73100,2796,283,278.8,75,0.00797,2.572222222,334.4,309.7,311.2
73100,2797,284.4,283,91,0.01066,1.543333333,344.2,311.2,313.2
73000,2798,282.4,281.7,95,0.00976,2.057777778,339.2,309.1,310.9
73000,2799,285,280.4,73,0.00894,5.144444444,339.9,312,313.7
73100,2800,285.2,281.3,77,0.00947,7.202222222,341.6,312.1,313.8
72800,2801,285.4,282.9,85,0.01063,7.202222222,345.8,312.7,314.7
73000,2802,288.8,279.8,55,0.00856,2.057777778,343.4,316.1,317.8
73000,2803,287.8,280.6,62,0.00908,6.687777778,343.8,315.1,316.8
72900,2804,286.9,283.2,78,0.01081,5.144444444,348.1,314.2,316.2
72900,2805,284.2,278.2,67,0.00766,3.086666667,335.2,311.2,312.7
73000,2806,287.6,282.6,72,0.01038,6.173333333,347.5,314.8,316.8
73100,2807,283.6,283.3,98,0.01088,1.028888889,343.8,310.3,312.4
73100,2808,282.8,277.9,72,0.00748,2.057777778,332.7,309.4,310.9
73000,2809,283.2,281.6,90,0.0097,1.028888889,339.9,310,311.8
73000,2810,283.8,283.5,98,0.01104,1.028888889,344.7,310.7,312.7
72900,2812,288,281.2,64,0.00945,8.745555556,345.2,315.4,317.2
72900,2813,283.6,281.1,85,0.00938,1.543333333,339.6,310.6,312.3
72700,2814,283.6,279.9,78,0.00866,2.057777778,337.7,310.8,312.4
72900,2815,286.4,282.8,79,0.01058,7.202222222,346.8,313.7,315.7
72900,2816,288,280,59,0.00869,5.144444444,342.9,315.4,317
72800,2817,282.8,272.8,50,0.00521,5.144444444,326.3,309.8,310.8
73000,2818,284.8,279.7,71,0.00849,9.774444444,338.2,311.7,313.3
72900,2819,282.7,279.9,82,0.00863,5.144444444,336.3,309.6,311.2
73000,2820,284.2,279.3,72,0.00827,5.144444444,336.9,311.1,312.6
72700,2821,285.4,279.4,67,0.00836,3.601111111,339,312.8,314.4
73000,2822,283.2,279.2,76,0.00821,10.28888889,335.5,310,311.5
72800,2823,282.6,281.8,95,0.00986,2.572222222,340,309.6,311.4
72400,2825,286,283.4,84,0.01106,17.49111111,348.4,313.8,315.9
72700,2826,281.2,272.2,53,0.00499,2.057777778,323.9,308.2,309.1
72800,2827,283.8,275.8,58,0.00647,3.086666667,331.3,310.9,312.1
72800,2828,287.6,282.9,73,0.01063,6.173333333,348.5,315.1,317.1
72900,2829,281.6,281,96,0.00932,3.086666667,337,308.4,310.1
72800,2830,284.1,279.1,72,0.00819,7.716666667,336.7,311.2,312.7
72800,2831,285.4,273.4,44,0.00544,5.144444444,330,312.7,313.7
72800,2832,284.8,280.2,73,0.00883,4.115555556,339.6,312,313.7
72700,2833,283.4,279.8,79,0.0086,5.144444444,337.3,310.5,312.1
72800,2834,286.7,279.4,61,0.00835,8.231111111,340.4,314.1,315.6
72700,2835,287,282,72,0.01001,5.144444444,346,314.6,316.4
73000,2836,286.6,277.8,56,0.00746,6.687777778,337.3,313.7,315.1
72600,2837,288.8,277.9,48,0.00752,6.687777778,340.6,316.6,318
72800,2838,283.2,281.4,89,0.00959,4.115555556,339.9,310.2,312
72700,2839,284.4,280.6,77,0.00909,2.572222222,340,311.7,313.4
73000,2840,284.2,282.7,90,0.01045,1.028888889,343.5,311.1,313.1
72500,2841,283,281.6,91,0.00976,1.543333333,340.6,310.4,312.2
72600,2842,283.6,277.7,67,0.00744,5.658888889,334.2,310.9,312.3
72600,2843,283.6,279,73,0.00814,3.086666667,336.3,310.9,312.5
72800,2844,285,280,71,0.0087,1.028888889,339.4,312.2,313.9
72700,2845,284.4,280.4,76,0.00896,3.086666667,339.6,311.7,313.4
72500,2846,284.2,283.4,95,0.01104,2.057777778,345.9,311.7,313.8
72600,2848,285.2,280.2,71,0.00885,4.63,340.4,312.7,314.4
72600,2849,283.8,281,83,0.00936,3.601111111,340.2,311.1,312.9
72400,2850,289.6,281.6,59,0.00978,1.543333333,348.9,317.8,319.6
72700,2851,285.6,280.9,73,0.00928,5.144444444,342,313,314.8
72600,2852,282.4,280.9,90,0.00929,4.115555556,338.3,309.6,311.4
72500,2853,284,283.2,95,0.01089,3.086666667,345.2,311.5,313.5
72700,2854,283.5,280.7,83,0.00917,5.144444444,339.1,310.7,312.4
72800,2855,283.3,281,86,0.00935,5.144444444,339.4,310.4,312.2
72600,2856,282.8,282.6,99,0.01044,3.086666667,342.2,310.1,312
72400,2857,282.4,280.9,90,0.00932,3.086666667,338.6,309.9,311.6
72500,2858,283.6,280.6,82,0.00911,3.086666667,339.4,311.1,312.8
72400,2859,285.4,283.2,86,0.01091,4.115555556,347.2,313.1,315.2
72400,2861,283.4,281.5,88,0.00971,1.543333333,341.1,311,312.8
72600,2862,281.4,273.4,57,0.00546,2.572222222,325.6,308.5,309.5
72500,2863,283,278,71,0.0076,4.63,334.1,310.4,311.8
72600,2864,283,272,46,0.00492,2.572222222,325.9,310.3,311.2
72300,2865,284.8,284.1,95,0.01161,2.572222222,348.7,312.6,314.8
72500,2866,284.8,275.8,54,0.0065,5.144444444,332.9,312.4,313.6
72400,2867,285.2,280.6,73,0.00913,3.086666667,341.5,312.9,314.6
72500,2868,283.8,280.4,80,0.009,5.144444444,339.3,311.3,313
72500,2869,283.6,283.3,98,0.01097,1.028888889,344.9,311.1,313.1
72400,2871,285,280.1,72,0.00884,5.144444444,340.4,312.7,314.4
72300,2872,284,278,66,0.00762,2.572222222,335.6,311.7,313.2
72300,2873,283.6,281.3,86,0.00959,4.63,341.1,311.3,313.1
72500,2874,285.9,281.2,73,0.00951,5.144444444,343.4,313.6,315.4
72300,2875,288.2,278.7,53,0.00801,5.144444444,341.9,316.4,317.9
72500,2876,283,280.8,86,0.00924,2.057777778,339,310.4,312.1
72300,2878,284,279.8,75,0.00864,3.601111111,338.7,311.7,313.4
72400,2879,282.4,272.4,50,0.00508,2.057777778,326,309.9,310.8
72300,2880,283.2,283.1,99,0.01085,1.543333333,344.4,310.9,312.9
72400,2881,281.8,280.1,89,0.00881,2.572222222,336.4,309.2,310.9
72400,2882,283.4,282.3,92,0.01023,5.144444444,342.7,311,312.9
72200,2883,281.6,274.6,61,0.00599,5.144444444,328,309.2,310.4
72200,2884,284.4,278.4,67,0.00785,1.028888889,336.9,312.3,313.8
72300,2885,284.2,279.5,73,0.00847,3.601111111,338.4,312,313.6
72200,2886,284.4,276.4,58,0.00681,4.115555556,333.8,312.3,313.6
72500,2887,283.3,279.5,77,0.00847,5.144444444,337.1,310.8,312.3
72300,2888,285.2,277.2,58,0.0072,3.086666667,335.8,313.1,314.4
72100,2889,282.6,277.9,72,0.00759,4.63,334.1,310.4,311.9
72400,2890,284.6,278.6,67,0.00794,3.601111111,337.2,312.3,313.8
72200,2891,282.8,281.2,90,0.00954,0.514444444,340.1,310.6,312.3
72200,2892,287.8,281.8,67,0.00994,7.202222222,347.5,316,317.9
72300,2893,284.2,279.2,72,0.00832,5.658888889,338,311.9,313.5
72100,2894,286.2,281.2,72,0.00955,3.601111111,344.4,314.4,316.2
72200,2895,283.8,275.8,58,0.00653,5.658888889,332.2,311.6,312.9
72100,2896,282.4,280.6,89,0.00916,0.514444444,338.6,310.2,311.9
72300,2897,285.8,281,73,0.00939,5.144444444,343.2,313.7,315.5
72200,2898,285.6,282.8,83,0.01061,8.745555556,346.7,313.6,315.6
72200,2899,283.6,280.2,79,0.0089,2.057777778,339.1,311.4,313.1
72200,2900,283.2,278.9,75,0.00813,6.173333333,336.3,311,312.5
72300,2901,283.4,282.3,93,0.01027,1.543333333,342.9,311.1,313
72300,2902,283.6,282.9,96,0.01073,5.144444444,344.5,311.3,313.3
72300,2903,283.3,280.6,83,0.00912,6.687777778,339.3,311,312.7
72200,2904,283.1,280.5,84,0.00907,5.144444444,339.1,310.9,312.6
72000,2905,283.8,273.8,50,0.00566,5.144444444,329.9,311.9,313
72300,2906,283.6,281.7,88,0.00986,4.115555556,341.9,311.3,313.1
72100,2907,282.6,271.6,46,0.00481,4.115555556,325.8,310.4,311.4
72100,2908,284.2,277.2,62,0.00722,3.601111111,334.9,312.2,313.6
72100,2909,282.4,269.4,40,0.00408,3.086666667,323.3,310.2,311
72000,2910,282,279.3,83,0.00838,6.687777778,335.9,309.9,311.5
72200,2911,281.4,279.9,90,0.00872,3.086666667,335.9,309,310.6
71900,2912,284.6,282.2,85,0.01026,2.572222222,344.9,312.9,314.8
72200,2913,283.1,278.2,72,0.00776,5.144444444,335,310.8,312.3
72000,2914,282.6,281,90,0.00943,3.601111111,339.8,310.6,312.3
71900,2916,280.6,275.6,71,0.00646,5.144444444,328.6,308.5,309.7
72000,2917,283.2,283.2,100,0.01097,2.572222222,345.2,311.2,313.3
72100,2918,284,279,71,0.0082,4.115555556,337.6,312,313.5
72000,2919,283.4,279.5,77,0.0085,4.63,338,311.4,313.1
71700,2920,287,279,59,0.00824,4.63,342,315.8,317.4
71800,2921,286.8,283.2,79,0.011,4.115555556,350.1,315.4,317.5
72000,2922,282.8,282.4,97,0.01039,1.543333333,342.9,310.8,312.7
72200,2923,283.7,280.8,82,0.00926,5.144444444,340.4,311.6,313.3
72000,2924,282.8,280.3,84,0.00899,4.115555556,338.7,310.8,312.5
72100,2925,282.3,280,85,0.00876,5.658888889,337.3,310.2,311.8
71900,2926,281.4,278.5,82,0.00794,0.514444444,334,309.4,310.9
71900,2927,285.4,281.4,77,0.00969,5.144444444,344.1,313.7,315.6
72000,2928,283.6,280.3,80,0.00899,3.601111111,339.7,311.7,313.4
71800,2929,281.8,277.1,72,0.0072,5.658888889,332.4,309.9,311.3
71900,2930,286.2,281.3,72,0.00965,7.716666667,345,314.6,316.5
71900,2931,283.2,281.6,90,0.00985,2.057777778,341.9,311.4,313.2
71700,2932,283.4,281.5,88,0.00981,2.572222222,342.3,311.8,313.7
71900,2934,285.2,282.7,85,0.01062,8.231111111,346.7,313.6,315.6
71800,2935,284.4,280.5,77,0.00914,4.63,341.4,312.8,314.5
71800,2936,283.8,277.8,66,0.00757,3.601111111,335.9,312.1,313.6
71900,2937,283.1,280.3,83,0.00898,5.144444444,339.1,311.2,312.9
72000,2938,284.6,280,73,0.00879,5.658888889,340.4,312.8,314.5
71800,2939,283.6,283,96,0.01085,2.057777778,345.6,311.9,314
71700,2940,281.4,264.4,29,0.0028,2.057777778,318.8,309.6,310.1
71900,2941,283.6,281,84,0.00943,5.144444444,341.1,311.8,313.5
71900,2942,285,280,71,0.00882,4.63,341,313.3,315
71900,2943,282.2,281.2,93,0.00958,3.601111111,339.9,310.3,312.1
71800,2944,282.8,279.5,80,0.00853,5.144444444,337.6,311,312.6
71700,2945,284,279.7,75,0.00866,2.572222222,339.6,312.5,314.1
71700,2946,284.6,279.6,71,0.0086,8.745555556,340.1,313.1,314.8
71900,2947,281.4,280.1,92,0.00888,8.231111111,336.8,309.4,311
71900,2948,282.6,273.6,53,0.00559,3.601111111,328.4,310.7,311.8
71900,2949,283.2,282.7,97,0.01062,5.144444444,344.2,311.4,313.3
71800,2950,284.2,278.6,68,0.008,8.231111111,337.6,312.6,314.1
71900,2951,282.2,282.2,100,0.01026,0.514444444,341.9,310.3,312.2
71800,2952,283.7,278.4,69,0.00788,5.144444444,336.8,312.1,313.6
71700,2953,282.6,278.7,77,0.00807,2.057777778,336.1,310.9,312.5
72000,2954,285.7,277.5,58,0.00738,6.687777778,337.3,313.9,315.3
71600,2955,285,280.5,74,0.00917,6.687777778,342.5,313.7,315.4
71600,2956,283.2,282.8,97,0.01074,2.057777778,345,311.7,313.7
71800,2957,283.6,279,73,0.00823,2.057777778,337.7,311.9,313.5
71800,2958,283.8,278.8,71,0.00812,3.086666667,337.6,312.1,313.7
71800,2959,282.9,280.2,83,0.00897,6.173333333,339.1,311.2,312.9
71800,2960,282.4,282.4,100,0.01042,0.514444444,342.8,310.6,312.6
71600,2961,282.4,280,85,0.00885,3.601111111,338.4,310.9,312.5
71700,2962,282.4,282.4,100,0.01043,4.63,342.9,310.7,312.7
71900,2963,282.6,282.6,100,0.01054,3.086666667,343.3,310.7,312.7
71800,2964,283.2,268.2,34,0.00373,7.202222222,323.6,311.5,312.2
71700,2965,284.2,280.1,76,0.0089,4.63,340.6,312.7,314.4
71600,2966,282.6,280.3,86,0.00904,2.057777778,339.1,311.1,312.8
71450,2967,283.4,281.3,87.5,0.009765,2.572222222,342.5,312.15,313.95
71200,2968,286.8,280.8,67,0.00941,9.26,346,316.2,318
71500,2969,284.6,280.4,75,0.00911,6.173333333,342,313.4,315.1
71600,2970,283.1,278.7,74,0.00808,7.202222222,336.9,311.6,313.1
71650,2971,282.55,280.875,89.75,0.0094375,4.63,340.2,310.95,312.75
71550,2972,281.5,280.95,96.5,0.00948,4.63,339.2,309.9,311.7
71480,2974,283.44,280.12,81,0.008964,7.202222222,340.12,312.16,313.8
71500,2977,283.35,280.75,84.5,0.009355,5.144444444,341.1,312.05,313.75
71500,2978,283.1,281.25,88.5,0.009705,3.086666667,341.9,311.75,313.6
71433.33333,2979,283.6,281.8,89.33333333,0.010053333,5.144444444,343.6666667,312.3666667,314.2666667
71600,2980,282.75,280.5,86,0.00919,0.514444444,339.8,311.25,313
71700,2981,282.9,278.9,76,0.00818,6.173333333,336.8,311.3,312.9
71400,2982,283.3,273.25,59,0.006585,0.514444444,332.8,312.1,313.3
71400,2983,282.9333333,275.9333333,62.33333333,0.006696667,5.144444444,332.7333333,311.7,312.9666667
71450,2984,281.9,281.6,98,0.00991,2.572222222,341.1,310.5,312.35
71450,2985,282.7333333,279.2,79.66666667,0.00855,5.144444444,338.0333333,311.4166667,313.0166667
71366.66667,2986,282.4666667,278.3666667,76,0.007946667,5.144444444,336.0333333,311.2,312.7
71400,2987,282,282,100,0.01019,1.028888889,342.2,310.7,312.6
71450,2989,283.35,280.25,81.5,0.0090925,5.144444444,340.425,312.1,313.775
71366.66667,2990,282.9,278.5333333,75.33333333,0.008236667,7.202222222,337.4,311.7,313.2
71433.33333,2991,282.7333333,279.0666667,79.33333333,0.008466667,5.658888889,337.8333333,311.4333333,313
71300,2992,282.0666667,280.2,88.33333333,0.00906,2.572222222,338.9666667,310.8333333,312.5666667
71266.66667,2993,284.5333333,279.5333333,72.66666667,0.008673333,7.202222222,340.8666667,313.6333333,315.2333333
71325,2994,282.15,281.275,94.5,0.009745,3.086666667,341.1,310.9,312.75
71333.33333,2995,283.3833333,279.4166667,78.16666667,0.008605,5.144444444,339.15,312.2666667,313.8833333
71500,2996,282.6,279.8,83,0.00877,5.144444444,338.4,311.2,312.8
71300,2997,281.5333333,279.1,85,0.008373333,6.173333333,336.2333333,310.3,311.8333333
71383.33333,2998,282.35,279.1166667,82,0.008486667,5.144444444,337.5,311.0666667,312.65
71300,3000,282.22,279.94,86,0.008866,12.34666667,338.58,311,312.7
71300,3001,282.4,282.4,100,0.01049,1.028888889,343.7,311.2,313.2
71300,3002,283.35,280.575,83.5,0.0092575,5.658888889,341.125,312.275,314.025
71300,3003,284.2,278.2,67,0.00784,4.63,337.9,313.2,314.7
71350,3004,281.3,279.25,87,0.008455,5.144444444,336.15,309.95,311.55
71300,3005,284.64,279.9,73,0.00889,6.173333333,341.62,313.68,315.4
71266.66667,3006,283.3333333,278.4333333,72.33333333,0.008003333,4.63,337.4,312.2666667,313.8
71350,3007,282.4,279,79.66666667,0.008303333,6.687777778,337.0166667,311.1333333,312.7
71300,3008,283.4,281.4,87.75,0.0098175,5.144444444,342.9,312.3,314.175
71200,3010,282.1,278.3,77,0.00795,7.716666667,335.8,311,312.5
71280,3011,282.74,279.92,83.2,0.008898,5.144444444,339.34,311.62,313.28
71200,3012,283.6,278.6,71,0.00807,2.057777778,338,312.7,314.2
71140,3013,284.06,281.52,85,0.00991,7.202222222,344.24,313.26,315.14
71200,3014,283.6,270.1,45.5,0.00529,4.115555556,329.55,312.7,313.7
71250,3015,282.4,281.25,93,0.0097,2.572222222,341.35,311.25,313.1
71166.66667,3016,283.2666667,281.5666667,89.66666667,0.00995,2.572222222,343.3333333,312.3333333,314.2
70000,3017,281.6,278.3,80,0.00804,1.543333333,337.1,312,313.5
71240,3018,282.7,276.44,73.2,0.007844,7.716666667,336.1,311.64,313.1
71140,3019,282.4,281.4,93.8,0.009834,3.086666667,341.96,311.44,313.28
71140,3020,282.52,281.08,91,0.009608,7.716666667,341.4,311.56,313.36
71000,3021,282.8,279.4,79,0.00856,3.086666667,338.8,312,313.6
71133.33333,3022,283.1,281.4333333,89.66666667,0.00986,5.144444444,342.9333333,312.2333333,314.1
71100,3023,281.8,280.1,89,0.00898,2.572222222,338.7,310.8,312.5
