PRESION,ALTURA,TEMPAMB,TEMPROCIO,HUMEDAD,MEZCLAIRE,VIENTO,TOPOTP
546.5,5090.19,0.4,-3.3,14.5,0.98,39.76,330.07
548.5,5120.67,0.4,-2.6,32,2.14,38.97,330.48
546.5,5151.15,0.6,-3.15,18,1.3,39.76,330.55
543.55,5181.63,1.45,-1.5,28,1.68,39.71,332.57
542,5212.11,1.2,-3.75,6.5,0.51,35.8,331.55
540.5,5242.59,0.25,-2.6,20.5,1.49,39.55,332.52
539.5,5273.07,0.25,-2.6,23,1.59,39.33,331.8
536.5,5303.55,0.05,-3.25,3.5,0.23,39.26,331.62
535,5334.03,0.3,-4.45,8,0.53,39.32,331.67
533,5364.51,0.05,-4.8,31,1.98,37.97,331.98
531,5394.99,-1.6,-3.15,22.5,1.28,38.84,331.42
527.5,5425.47,-0.15,-4.4,14.5,1.06,38.84,331.8
526,5455.95,-0.75,-3.7,9,0.54,39.19,332.28
519.35,5486.43,1.1,-3.05,2.5,0.2,39.64,334.98
522.5,5516.91,0.25,-8.2,3,0.19,37.23,332.02
520.5,5547.39,-0.75,-6.45,12,0.79,36.79,332.38
517,5577.87,-2.35,-5.4,14,0.75,38.36,331.18
515.5,5608.35,-2.9,-5.3,28,1.58,37.18,331.88
514,5638.83,-4.8,-8.4,45.5,2.38,31.02,328.53
512.5,5669.31,-4.3,-5.45,49,2.73,33.53,331.03
510,5699.79,-3.6,-5.4,33,1.85,37.18,331.67
504.5,5730.27,-5,-6.65,59.5,2.82,30.69,330.38
507,5760.75,-3.5,-6.65,20.5,1.18,36.31,332.03
501.85,5791.23,-2.05,-4.7,8,0.42,39.27,334.82
504,5821.71,-2.5,-26.25,37.5,2.16,28.31,331.82
503,5852.19,-3.05,-11.7,40.5,2.35,32.58,332.35
499.5,5882.67,-3.1,-6.75,7.5,0.41,37.11,333.98
497.5,5913.15,-3.55,-7.35,15,0.89,35.86,333.4
495,5943.63,-2.4,-7.2,5.5,0.32,37.94,334.78
493.5,5974.11,-3,-7.5,6.5,0.36,37.19,334.87
491.5,6004.59,-4.3,-8.65,40,2.27,33.12,333.7
488,6035.07,-4.2,-10.85,26,1.42,33.9,333.08
487,6065.55,-4.05,-11.05,17,0.84,34.5,333.37
480.55,6096.03,-3.15,-6.4,15.5,0.81,38.28,336.77
484,6126.51,-3.8,-10.05,21,1.26,36.02,335
481,6156.99,-5.6,-9.15,10,0.5,35.15,334.3
479.5,6187.47,-6.8,-10.5,34.5,1.52,32.9,332.42
478,6217.95,-5.8,-9.2,46,2.33,32.7,334.72
476.5,6248.43,-6.3,-7.25,25.5,1.28,35.01,334.97
473,6278.91,-5.8,-9.15,34,1.53,33.67,334.98
471.5,6309.39,-3.5,-9.45,15.5,0.77,37.39,336.87
470,6339.87,-5.7,-9.35,22.5,1.11,35.27,334.93
468,6370.35,-6.2,-9.6,29.5,1.48,34.09,335.23
462.75,6400.83,-4.9,-8.2,10.5,0.46,36.56,337.23
464,6431.31,-6.15,-7.85,4,0.22,38.02,337.05
463.5,6461.79,-4.35,-10.9,1.5,0.1,38.58,337.25
461.5,6492.27,-8.8,-14.3,43,1.63,31.93,332.9
459,6522.75,-7.9,-14.85,55,2.38,31.62,334
458,6553.23,-6.9,-12.5,19.5,0.91,35.14,335.8
456,6583.71,-7.7,-11.55,5,0.23,36.78,336.47
454,6614.19,-7.7,-13.05,39.5,1.6,33.19,335.57
452.5,6644.67,-8.2,-12.6,25.5,0.99,34.44,335.55
450.5,6675.15,-7.5,-14.15,9,0.43,35.49,336.35
444.45,6705.63,-6.9,-11.05,16,0.73,35.63,338.02
446,6736.11,-8.4,-15.5,11.5,0.49,35.22,335.23
444,6766.59,-8.3,-11.35,26.5,1.08,34.76,337
442.5,6797.07,-8.9,-13.6,6,0.25,36.79,336.35
441.5,6827.55,-8.5,-14.15,4.5,0.18,36.79,336.45
436,6858.03,-7.8,-19.1,10,0.5,33.94,336.12
438,6888.51,-9.5,-13.75,4,0.16,36.85,336.87
437,6918.99,-9,-15.5,32,1.24,34.17,337.07
434.5,6949.47,-10.9,-11.85,67.5,2.55,30.56,336.95
433.5,6979.95,-9.75,-15.8,15,0.59,35.26,336.45
427.9,7010.43,-8,-22.45,2.5,0.11,36.88,338.85
429,7040.91,-10.6,-14.8,3,0.12,38.79,337.33
427,7071.48,-9.7,-16,3.5,0.13,37.51,337.98
425,7101.96,-11.3,-15.95,10.5,0.33,36.52,337.18
425.5,7132.44,-12.2,-17.65,31.5,1.02,32.39,335.82
422,7162.92,-10.5,-15.55,21.5,0.81,35.63,337.87
421,7193.4,-11.8,-15.6,17,0.57,35.47,336.98
421,7223.88,-12.95,-25.55,24.5,0.77,32.87,334.83
417,7254.36,-9.1,-16.25,5.5,0.23,37.27,339.92
416.5,7284.84,-12.3,-14.95,7,0.24,36.99,337.7
412.65,7315.32,-10.55,-17.45,24,0.87,34.23,339.62
411.5,7345.8,-12.6,-15.85,26.5,0.9,35.03,338.1
411,7376.28,-12.1,-14.95,8.5,0.28,37.27,339.17
411,7406.76,-13.8,-15.05,49.5,1.43,32.24,337.67
408,7437.24,-12.6,-18.85,46.5,1.49,32.94,338.6
406,7467.72,-11.9,-19.05,11,0.35,36.58,340.02
406.5,7498.2,-14,-28,22,0.71,33.29,336.43
403,7528.68,-14.4,-17.5,41,1.06,32.21,337.67
401.5,7559.16,-13.8,-17.05,15.5,0.38,36.26,338.82
399.5,7589.64,-12.5,-15.6,2,0.06,40.28,341.05
394.9,7620.12,-12.9,-21.15,15,0.47,35.64,340.38
399,7650.6,-14.45,-19.65,29.5,0.9,34.34,338.75
392,7681.08,-15.9,-25.9,42.5,1.12,31.77,336.98
393,7711.56,-16.2,-19.95,34.5,0.95,33.92,337.82
391,7742.04,-15.8,-18.85,11.5,0.31,36.8,338.68
390.5,7772.52,-14.3,-18.05,12.5,0.37,36.26,340.65
389.5,7803,-15.6,-23,37.5,1.07,31.63,339.13
388,7833.48,-15.6,-27.2,15.5,0.45,33.5,338.43
386.5,7863.96,-15.2,-35,5.5,0.15,34.46,339.55
383.5,7894.44,-17.45,-22.55,20,0.44,34.91,337.5
379.8,7924.92,-15.3,-21.2,15,0.34,36.51,340.68
380,7955.4,-16.5,-19.7,12.5,0.31,36.73,340.27
379,7985.88,-16.6,-19.05,4,0.11,39.06,340.47
377,8016.36,-17.45,-20,49,1.1,32.41,340.02
376,8046.84,-16.7,-27.35,4,0.11,38.12,339.85
374.5,8077.32,-16.5,-20.7,6.5,0.18,37.58,341.53
373,8107.8,-16.9,-23.1,6.5,0.18,36.41,340.47
372,8138.28,-16.9,-25.75,30,0.72,33.8,340.95
370,8168.76,-17.5,-33.6,21.5,0.47,34.91,340.22
368.5,8199.24,-17.9,-25.85,13,0.33,36.19,340.5
364.3,8229.72,-15.65,-33.65,3.5,0.09,40.01,343.08
365.5,8260.2,-18.65,-22.45,32,0.63,34.08,340.33
363.5,8290.68,-18.6,-24.25,12.5,0.3,36.75,340.15
361.5,8321.16,-19.2,-22.3,45,0.84,34,341.22
360.5,8351.64,-18.4,-25.15,6.5,0.13,37.57,341.25
359.5,8382.12,-19,-26,16,0.38,35.48,341.3
358,8412.6,-20.2,-24.55,26.5,0.5,34.57,340.7
357.5,8443.08,-19.2,-23.9,40.5,0.99,34.43,342.73
355.5,8473.56,-19.7,-22.1,37.5,0.8,34.84,342.65
352.5,8504.04,-19,-26.2,8,0.18,37.51,343.07
349.5,8534.52,-19.6,-21,49,0.95,33.92,343.15
350.5,8565,-21.5,-27.55,5,0.1,38.06,340.78
349,8595.48,-21.5,-26.85,38,0.72,33.22,341.32
347.5,8625.96,-20,-25.4,3,0.06,41.57,343.08
346.5,8656.44,-21,-27.25,18,0.32,36.49,342.78
344,8686.92,-21.7,-27,15,0.29,36.28,341.65
343,8717.4,-22.7,-26.2,42.5,0.74,32.44,341.3
342,8747.88,-21.9,-23.85,9.5,0.18,37.74,343.03
340,8778.36,-22.45,-31.5,11,0.17,38.95,342
339,8808.84,-22.2,-26.65,11,0.19,36.42,342.28
335.55,8839.32,-21.25,-25.05,8.5,0.15,37.95,343.93
335.5,8869.8,-24.25,-26.9,30.5,0.49,33.69,341.18
334.5,8900.28,-22.7,-28.2,13,0.22,37.02,343.4
333.5,8930.76,-22.4,-26.9,6.5,0.12,38.05,343.33
332,8961.24,-23.7,-29.55,12.5,0.19,36.48,342.42
331,8991.72,-24,-28.6,31,0.5,34.57,342.93
329,9022.2,-23.8,-30.2,9,0.14,36.83,342.92
327.5,9052.68,-23.5,-28.65,2.5,0.04,44.1,343.18
326,9083.16,-23.8,-29.1,9.5,0.14,38.66,343.3
324.5,9113.64,-25.3,-28.85,9.5,0.14,37.35,342.58
320.75,9144.12,-23.55,-27.3,2,0.03,44.94,345.03
